=== Sweep: 3 datasets × 4 strategies × 4 budgets = 48 runs ===


[1] ring | Baseline | b=0.0
  Epoch 160 | Loss 1.1616 | Val 1.0000 | Test 1.0000
  Epoch 180 | Loss 1.0884 | Val 0.9600 | Test 1.0000
  Epoch 200 | Loss 1.0841 | Val 1.0000 | Test 0.9867
  → acc=1.000 | MAD=0.267 | jac=0.1227 | E=35

[9] ring | K-hop | b=1.5
  Epoch 020 | Loss 0.9983 | Val 0.8000 | Test 0.7067
  Epoch 040 | Loss 0.9506 | Val 0.6000 | Test 0.5200
  Epoch 060 | Loss 1.0021 | Val 0.8000 | Test 0.6933
  Epoch 080 | Loss 1.0095 | Val 0.8000 | Test 0.7867
  Epoch 100 | Loss 0.9740 | Val 0.8133 | Test 0.7200
  Epoch 120 | Loss 1.0439 | Val 0.9867 | Test 0.9867
  Epoch 140 | Loss 0.8982 | Val 0.6000 | Test 0.5600
  Epoch 160 | Loss 1.0994 | Val 0.8267 | Test 0.8800
  Epoch 180 | Loss 0.9484 | Val 0.8933 | Test 0.8133
  Epoch 200 | Loss 0.9733 | Val 0.9467 | Test 0.9867
  → acc=0.987 | MAD=0.188 | jac=1.4393 | E=50

[10] ring | FeatureSim | b=0.0
  Epoch 020 | Loss 1.6923 | Val 0.2133 | Test 0.2133
  Epoch 040 | Loss 1.6846 | Val 0.2000 | Test 0.1333
  Epoch 060 | Loss 1.6781 | Val 0.1067 | Test 0.2933
  Epoch 080 | Loss 1.6762 | Val 0.1733 | Test 0.1200
  Epoch 100 | Loss 1.6884 | Val 0.2133 | Test 0.1867
  Epoch 120 | Loss 1.6512 | Val 0.2400 | Test 0.1467
  Epoch 140 | Loss 1.6597 | Val 0.1467 | Test 0.2400
  Epoch 160 | Loss 1.6583 | Val 0.2000 | Test 0.1333
  Epoch 180 | Loss 1.6817 | Val 0.2133 | Test 0.1067
  Epoch 200 | Loss 1.6638 | Val 0.1733 | Test 0.1200
  → acc=0.147 | MAD=0.188 | jac=0.0362 | E=20

[11] ring | FeatureSim | b=0.25
  Epoch 020 | Loss 1.6838 | Val 0.2400 | Test 0.2133
  Epoch 040 | Loss 1.6501 | Val 0.1867 | Test 0.1200
  Epoch 060 | Loss 1.6580 | Val 0.2000 | Test 0.1867
  Epoch 080 | Loss 1.6895 | Val 0.2000 | Test 0.1867
  Epoch 100 | Loss 1.6625 | Val 0.2267 | Test 0.1733
  Epoch 120 | Loss 1.6687 | Val 0.2267 | Test 0.1467
  Epoch 140 | Loss 1.6746 | Val 0.1867 | Test 0.3067
  Epoch 160 | Loss 1.7097 | Val 0.2533 | Test 0.2000
  Epoch 180 | Loss 1.6724 | Val 0.1867 | Test 0.1200
  Epoch 200 | Loss 1.6798 | Val 0.1867 | Test 0.1867
  → acc=0.200 | MAD=0.329 | jac=0.0507 | E=25

[12] ring | FeatureSim | b=0.75
  Epoch 020 | Loss 1.4888 | Val 0.5200 | Test 0.4400
  Epoch 040 | Loss 1.5036 | Val 0.3867 | Test 0.3067
  Epoch 060 | Loss 1.5326 | Val 0.7733 | Test 0.7467
  Epoch 080 | Loss 1.4689 | Val 0.6000 | Test 0.4800
  Epoch 100 | Loss 1.4988 | Val 0.3200 | Test 0.2800
  Epoch 120 | Loss 1.6306 | Val 0.4133 | Test 0.4133
  Epoch 140 | Loss 1.4500 | Val 0.4000 | Test 0.4267
  Epoch 160 | Loss 1.5153 | Val 0.6133 | Test 0.6000
  Epoch 180 | Loss 1.4871 | Val 0.3333 | Test 0.3200
  Epoch 200 | Loss 1.5184 | Val 0.4800 | Test 0.4000
  → acc=0.747 | MAD=0.391 | jac=0.4245 | E=35

[13] ring | FeatureSim | b=1.5
  Epoch 020 | Loss 1.2478 | Val 0.6000 | Test 0.5467
  Epoch 040 | Loss 1.1524 | Val 0.5467 | Test 0.5333
